Trembl_Hit	Protein_ID	V2
A0A1Q9CRD4	Sfitti_g11570	
A0A1Q9CRD8	Sfitti_g3856	GO:0005524; GO:0004386; GO:0003676
A0A1Q9CRF3	Sfitti_g2734	
A0A1Q9CRG3	Sfitti_g2527	GO:0005525; GO:0003924
A0A1Q9CRG7	Sfitti_g472	
A0A1Q9CRH0	Sfitti_g1266	GO:0009982; GO:0003723; GO:0001522
A0A1Q9CRH8	Sfitti_g9063	GO:0005737; GO:0016021; GO:0005524; GO:0016879; GO:0003676; GO:0008270; GO:0015074; GO:0008033
A0A1Q9CRH8	Sfitti_g15164	GO:0005737; GO:0016021; GO:0005524; GO:0016879; GO:0003676; GO:0008270; GO:0015074; GO:0008033
A0A1Q9CRI2	Sfitti_g14130	GO:0046872; GO:0006801
A0A1Q9CRI7	Sfitti_g18432	
A0A1Q9CRI7	Sfitti_g23525	
A0A1Q9CRI8	Sfitti_g18375	
A0A1Q9CRI8	Sfitti_g13870	
A0A1Q9CRI8	Sfitti_g10969	
A0A1Q9CRI8	Sfitti_g16784	
A0A1Q9CRI9	Sfitti_g14901	GO:0003676
A0A1Q9CRI9	Sfitti_g17112	GO:0003676
A0A1Q9CRJ0	Sfitti_g8291	GO:0016021
A0A1Q9CRJ0	Sfitti_g14922	GO:0016021
A0A1Q9CRK0	Sfitti_g13154	GO:0016021
A0A1Q9CRK2	Sfitti_g19943	GO:0003723; GO:0007229
A0A1Q9CRK2	Sfitti_g19985	GO:0003723; GO:0007229
A0A1Q9CRK4	Sfitti_g15861	GO:0016021
A0A1Q9CRK8	Sfitti_g7190	GO:0016021; GO:0003676; GO:0008270; GO:0015074
A0A1Q9CRK8	Sfitti_g6498	GO:0016021; GO:0003676; GO:0008270; GO:0015074
A0A1Q9CRK9	Sfitti_g6855	GO:0016021
A0A1Q9CRL5	Sfitti_g21192	
A0A1Q9CRL7	Sfitti_g1915	GO:0016021; GO:0030529; GO:0019013; GO:0050660; GO:0004499; GO:0050661; GO:0003723
A0A1Q9CRM4	Sfitti_g6119	
A0A1Q9CRM4	Sfitti_g2449	
A0A1Q9CRM5	Sfitti_g5394	GO:0016021; GO:0008236
A0A1Q9CRN0	Sfitti_g18378	
A0A1Q9CRN0	Sfitti_g7147	
A0A1Q9CRN0	Sfitti_g12954	
A0A1Q9CRN2	Sfitti_g21701	
A0A1Q9CRN2	Sfitti_g20977	
A0A1Q9CRN3	Sfitti_g11730	GO:0003676; GO:0008270
A0A1Q9CRN3	Sfitti_g23350	GO:0003676; GO:0008270
A0A1Q9CRN3	Sfitti_g23346	GO:0003676; GO:0008270
A0A1Q9CRN4	Sfitti_g10391	GO:0003676; GO:0015074
A0A1Q9CRN4	Sfitti_g12491	GO:0003676; GO:0015074
A0A1Q9CRN5	Sfitti_g16843	GO:0016021
A0A1Q9CRP0	Sfitti_g9657	
A0A1Q9CRP0	Sfitti_g9270	
A0A1Q9CRP0	Sfitti_g20874	
A0A1Q9CRP0	Sfitti_g21856	
A0A1Q9CRP0	Sfitti_g13981	
A0A1Q9CRP0	Sfitti_g17140	
A0A1Q9CRP0	Sfitti_g13245	
A0A1Q9CRP0	Sfitti_g20552	
A0A1Q9CRP0	Sfitti_g21694	
A0A1Q9CRP0	Sfitti_g14790	
A0A1Q9CRP0	Sfitti_g13508	
A0A1Q9CRP0	Sfitti_g2681	
A0A1Q9CRP1	Sfitti_g1916	
A0A1Q9CRQ2	Sfitti_g18202	GO:0003676; GO:0015074
A0A1Q9CRQ3	Sfitti_g17656	
A0A1Q9CRQ3	Sfitti_g19385	
A0A1Q9CRQ3	Sfitti_g9266	
A0A1Q9CRQ5	Sfitti_g23966	GO:0003677; GO:0031072; GO:0051082; GO:0015074; GO:0006310; GO:0006457
A0A1Q9CRQ5	Sfitti_g24118	GO:0003677; GO:0031072; GO:0051082; GO:0015074; GO:0006310; GO:0006457
A0A1Q9CRQ7	Sfitti_g22341	GO:0004514; GO:0009435
A0A1Q9CRQ7	Sfitti_g3098	GO:0004514; GO:0009435
A0A1Q9CRQ8	Sfitti_g14674	GO:0005524; GO:0008017; GO:0003777; GO:0007018
A0A1Q9CRQ8	Sfitti_g18984	GO:0005524; GO:0008017; GO:0003777; GO:0007018
A0A1Q9CRR0	Sfitti_g6361	GO:0016021
A0A1Q9CRR1	Sfitti_g23613	GO:0005737; GO:0004814; GO:0005524; GO:0006420
A0A1Q9CRR1	Sfitti_g2497	GO:0005737; GO:0004814; GO:0005524; GO:0006420
A0A1Q9CRR4	Sfitti_g6360	GO:0046872
A0A1Q9CRR5	Sfitti_g8744	GO:0046872; GO:0003676
A0A1Q9CRR5	Sfitti_g4188	GO:0046872; GO:0003676
A0A1Q9CRS2	Sfitti_g8096	
A0A1Q9CRS3	Sfitti_g23669	
A0A1Q9CRS9	Sfitti_g24233	GO:0005840; GO:0003735; GO:0006412
A0A1Q9CRS9	Sfitti_g6473	GO:0005840; GO:0003735; GO:0006412
A0A1Q9CRS9	Sfitti_g430	GO:0005840; GO:0003735; GO:0006412
A0A1Q9CRT0	Sfitti_g12813	GO:0004190; GO:0003676; GO:0008270
A0A1Q9CRT6	Sfitti_g22134	
A0A1Q9CRT8	Sfitti_g8465	GO:0008152
A0A1Q9CRT8	Sfitti_g13501	GO:0008152
A0A1Q9CRV4	Sfitti_g14273	GO:0005509
A0A1Q9CRV4	Sfitti_g2587	GO:0005509
A0A1Q9CRV5	Sfitti_g9137	GO:0016874; GO:0008152
A0A1Q9CRW0	Sfitti_g6052	GO:0003924
A0A1Q9CRW2	Sfitti_g5436	
A0A1Q9CRW2	Sfitti_g3089	
A0A1Q9CRW5	Sfitti_g5073	GO:0009982; GO:0003723; GO:0001522
A0A1Q9CRW9	Sfitti_g2381	GO:0008289
A0A1Q9CRX0	Sfitti_g1554	
A0A1Q9CRX5	Sfitti_g20097	GO:0016021; GO:0016740
A0A1Q9CRY0	Sfitti_g14848	GO:0003676; GO:0015074
A0A1Q9CRY5	Sfitti_g449	
A0A1Q9CRZ2	Sfitti_g12759	
A0A1Q9CRZ6	Sfitti_g23599	GO:0046872; GO:0004222; GO:0009982; GO:0003723; GO:0001522
A0A1Q9CRZ6	Sfitti_g6169	GO:0046872; GO:0004222; GO:0009982; GO:0003723; GO:0001522
A0A1Q9CRZ6	Sfitti_g3654	GO:0046872; GO:0004222; GO:0009982; GO:0003723; GO:0001522
A0A1Q9CRZ7	Sfitti_g1080	GO:0016021; GO:0005509; GO:0005216
A0A1Q9CRZ9	Sfitti_g14880	GO:0046872
A0A1Q9CS03	Sfitti_g2231	GO:0008168
A0A1Q9CS04	Sfitti_g9441	
A0A1Q9CS04	Sfitti_g5435	
A0A1Q9CS10	Sfitti_g2888	
A0A1Q9CS14	Sfitti_g13942	GO:0004553; GO:0005975
A0A1Q9CS16	Sfitti_g14014	GO:0016021
A0A1Q9CS16	Sfitti_g10001	GO:0016021
A0A1Q9CS16	Sfitti_g8576	GO:0016021
A0A1Q9CS18	Sfitti_g23735	GO:0016021; GO:0003684; GO:0016829; GO:0008534; GO:0006284; GO:0006289; GO:0006511
A0A1Q9CS18	Sfitti_g1691	GO:0016021; GO:0003684; GO:0016829; GO:0008534; GO:0006284; GO:0006289; GO:0006511
A0A1Q9CS18	Sfitti_g1097	GO:0016021; GO:0003684; GO:0016829; GO:0008534; GO:0006284; GO:0006289; GO:0006511
A0A1Q9CS21	Sfitti_g12982	GO:0005524; GO:0003678; GO:0006310; GO:0006281; GO:0000723
A0A1Q9CS33	Sfitti_g619	GO:0016021
A0A1Q9CS34	Sfitti_g9360	GO:0016021; GO:0008168
A0A1Q9CS37	Sfitti_g2889	
A0A1Q9CS38	Sfitti_g168	GO:0016787; GO:0006629
A0A1Q9CS45	Sfitti_g7992	GO:0006281
A0A1Q9CS45	Sfitti_g22973	GO:0006281
A0A1Q9CS45	Sfitti_g309	GO:0006281
A0A1Q9CS59	Sfitti_g4350	GO:0005506; GO:0031418; GO:0016705
A0A1Q9CS59	Sfitti_g7275	GO:0005506; GO:0031418; GO:0016705
A0A1Q9CS63	Sfitti_g169	GO:0005524; GO:0016301; GO:0006464
A0A1Q9CS65	Sfitti_g2180	GO:0004089; GO:0008270
A0A1Q9CS66	Sfitti_g20373	
A0A1Q9CS69	Sfitti_g1498	GO:0016021; GO:0003677; GO:0006355
A0A1Q9CS69	Sfitti_g17049	GO:0016021; GO:0003677; GO:0006355
A0A1Q9CS75	Sfitti_g2671	GO:0016021
A0A1Q9CS79	Sfitti_g7173	GO:0016763; GO:0006508; GO:0006400
A0A1Q9CS79	Sfitti_g11817	GO:0016763; GO:0006508; GO:0006400
A0A1Q9CS81	Sfitti_g11968	
A0A1Q9CS84	Sfitti_g20697	GO:0003676; GO:0008270
A0A1Q9CS85	Sfitti_g19117	
A0A1Q9CS85	Sfitti_g19221	
A0A1Q9CS85	Sfitti_g11045	
A0A1Q9CS85	Sfitti_g15460	
A0A1Q9CS87	Sfitti_g7637	
A0A1Q9CS87	Sfitti_g7636	
A0A1Q9CS87	Sfitti_g23403	
A0A1Q9CS94	Sfitti_g9194	GO:0009535; GO:0016021; GO:0016168; GO:0003677; GO:0015074; GO:0006310; GO:0009765; GO:0018298
A0A1Q9CS95	Sfitti_g9520	GO:0003676; GO:0004523
A0A1Q9CS95	Sfitti_g7597	GO:0003676; GO:0004523
A0A1Q9CS96	Sfitti_g3271	
A0A1Q9CS96	Sfitti_g13332	
A0A1Q9CSA5	Sfitti_g14186	GO:0006508
A0A1Q9CSA7	Sfitti_g16270	GO:0020037; GO:0046872; GO:0016491
A0A1Q9CSB6	Sfitti_g21976	GO:0005524; GO:0004672
A0A1Q9CSB6	Sfitti_g13087	GO:0005524; GO:0004672
A0A1Q9CSC3	Sfitti_g4840	
A0A1Q9CSD7	Sfitti_g20209	GO:0005524; GO:0050660; GO:0004499; GO:0050661
A0A1Q9CSD7	Sfitti_g4040	GO:0005524; GO:0050660; GO:0004499; GO:0050661
A0A1Q9CSD7	Sfitti_g4039	GO:0005524; GO:0050660; GO:0004499; GO:0050661
A0A1Q9CSE0	Sfitti_g10745	GO:0003964
A0A1Q9CSE3	Sfitti_g14966	GO:0003676
A0A1Q9CSF5	Sfitti_g16620	GO:0000786; GO:0005634; GO:0003677; GO:0046982
A0A1Q9CSG2	Sfitti_g5058	GO:0016021
A0A1Q9CSG3	Sfitti_g16273	
A0A1Q9CSG4	Sfitti_g9661	
A0A1Q9CSG4	Sfitti_g9289	
A0A1Q9CSH2	Sfitti_g14814	
A0A1Q9CSH3	Sfitti_g20136	GO:0016740
A0A1Q9CSH3	Sfitti_g6202	GO:0016740
A0A1Q9CSH3	Sfitti_g18660	GO:0016740
A0A1Q9CSH3	Sfitti_g114	GO:0016740
A0A1Q9CSH4	Sfitti_g3712	GO:0016021; GO:0005216
A0A1Q9CSH5	Sfitti_g1269	GO:0003677
A0A1Q9CSI6	Sfitti_g13374	
A0A1Q9CSI9	Sfitti_g4096	
A0A1Q9CSI9	Sfitti_g19462	
A0A1Q9CSI9	Sfitti_g8719	
A0A1Q9CSI9	Sfitti_g14457	
A0A1Q9CSI9	Sfitti_g8682	
A0A1Q9CSI9	Sfitti_g23767	
A0A1Q9CSI9	Sfitti_g18751	
A0A1Q9CSJ3	Sfitti_g8837	
A0A1Q9CSJ9	Sfitti_g3067	
A0A1Q9CSK3	Sfitti_g8037	
A0A1Q9CSK7	Sfitti_g826	
A0A1Q9CSK9	Sfitti_g731	
A0A1Q9CSL0	Sfitti_g780	
A0A1Q9CSL0	Sfitti_g20633	
A0A1Q9CSL4	Sfitti_g976	
A0A1Q9CSM1	Sfitti_g5510	GO:0016021
A0A1Q9CSN1	Sfitti_g18383	
A0A1Q9CSN1	Sfitti_g14073	
A0A1Q9CSN6	Sfitti_g23498	
A0A1Q9CSP1	Sfitti_g9836	
A0A1Q9CSP2	Sfitti_g20268	GO:0016021; GO:0004576; GO:0006486
A0A1Q9CSP2	Sfitti_g1522	GO:0016021; GO:0004576; GO:0006486
A0A1Q9CSP8	Sfitti_g11144	
A0A1Q9CSQ1	Sfitti_g1131	GO:0016021; GO:0046872
A0A1Q9CSQ2	Sfitti_g8992	GO:0016021; GO:0005761; GO:0018580; GO:0003755; GO:0003735; GO:0016746; GO:0016772; GO:0006506; GO:0016310; GO:0006412
A0A1Q9CSQ3	Sfitti_g6507	GO:0016021
A0A1Q9CSQ4	Sfitti_g20781	GO:0016021
A0A1Q9CSQ8	Sfitti_g3030	GO:0016021; GO:0003993; GO:0046872
A0A1Q9CSR0	Sfitti_g12992	
A0A1Q9CSR3	Sfitti_g16909	GO:0003676; GO:0015074
A0A1Q9CSR3	Sfitti_g13116	GO:0003676; GO:0015074
A0A1Q9CSR3	Sfitti_g12415	GO:0003676; GO:0015074
A0A1Q9CSS1	Sfitti_g11908	GO:0016021; GO:0015267
A0A1Q9CSS1	Sfitti_g2811	GO:0016021; GO:0015267
A0A1Q9CSS1	Sfitti_g11188	GO:0016021; GO:0015267
A0A1Q9CSS1	Sfitti_g24220	GO:0016021; GO:0015267
A0A1Q9CSS2	Sfitti_g20278	
A0A1Q9CSS5	Sfitti_g6251	GO:0016021
A0A1Q9CSS7	Sfitti_g18664	GO:0016021; GO:0003676
A0A1Q9CSS7	Sfitti_g11038	GO:0016021; GO:0003676
A0A1Q9CST4	Sfitti_g4463	GO:0016021; GO:0016491
A0A1Q9CST7	Sfitti_g15332	
A0A1Q9CSU7	Sfitti_g13174	GO:0003676; GO:0004523
A0A1Q9CSW1	Sfitti_g11245	GO:0016021
A0A1Q9CSW6	Sfitti_g22415	GO:0016021; GO:0055085
A0A1Q9CSX0	Sfitti_g1428	GO:0005524; GO:0008168; GO:0004674
A0A1Q9CSX0	Sfitti_g1224	GO:0005524; GO:0008168; GO:0004674
A0A1Q9CSY4	Sfitti_g10686	
A0A1Q9CSY4	Sfitti_g5415	
A0A1Q9CSY7	Sfitti_g22413	
A0A1Q9CSY8	Sfitti_g14540	GO:0005634; GO:0003677
A0A1Q9CSZ0	Sfitti_g1516	
A0A1Q9CSZ3	Sfitti_g17220	
A0A1Q9CSZ8	Sfitti_g14617	GO:0016772; GO:0006388
A0A1Q9CSZ8	Sfitti_g14096	GO:0016772; GO:0006388
A0A1Q9CSZ8	Sfitti_g4745	GO:0016772; GO:0006388
A0A1Q9CT01	Sfitti_g2756	GO:0016021
A0A1Q9CT03	Sfitti_g9444	
A0A1Q9CT04	Sfitti_g6271	GO:0016021; GO:0016874; GO:0004842
A0A1Q9CT04	Sfitti_g5225	GO:0016021; GO:0016874; GO:0004842
A0A1Q9CT09	Sfitti_g1515	
A0A1Q9CT10	Sfitti_g22888	GO:0016021; GO:0051537; GO:0016491
A0A1Q9CT15	Sfitti_g15433	
A0A1Q9CT16	Sfitti_g4528	GO:0016021; GO:0005524; GO:0005525; GO:0004672
A0A1Q9CT16	Sfitti_g11714	GO:0016021; GO:0005524; GO:0005525; GO:0004672
A0A1Q9CT16	Sfitti_g4529	GO:0016021; GO:0005524; GO:0005525; GO:0004672
A0A1Q9CT17	Sfitti_g9540	GO:0003676; GO:0008270; GO:0015074
A0A1Q9CT18	Sfitti_g4806	GO:0005634; GO:0005524; GO:0003677; GO:0004672
A0A1Q9CT21	Sfitti_g22155	GO:0005576; GO:0030289; GO:0030248; GO:0004553; GO:0019888; GO:0005975
A0A1Q9CT21	Sfitti_g16628	GO:0005576; GO:0030289; GO:0030248; GO:0004553; GO:0019888; GO:0005975
A0A1Q9CT21	Sfitti_g24017	GO:0005576; GO:0030289; GO:0030248; GO:0004553; GO:0019888; GO:0005975
A0A1Q9CT26	Sfitti_g21878	GO:0009535; GO:0016021; GO:0051537; GO:0016168; GO:0016491; GO:0009765; GO:0018298
A0A1Q9CT26	Sfitti_g20972	GO:0009535; GO:0016021; GO:0051537; GO:0016168; GO:0016491; GO:0009765; GO:0018298
A0A1Q9CT29	Sfitti_g19535	
A0A1Q9CT29	Sfitti_g12716	
A0A1Q9CT29	Sfitti_g15066	
A0A1Q9CT39	Sfitti_g7336	GO:0016021; GO:0008324
A0A1Q9CT39	Sfitti_g19088	GO:0016021; GO:0008324
A0A1Q9CT42	Sfitti_g10606	GO:0003676
A0A1Q9CT42	Sfitti_g9301	GO:0003676
A0A1Q9CT42	Sfitti_g3906	GO:0003676
A0A1Q9CT44	Sfitti_g6300	GO:0016020; GO:0008375
A0A1Q9CT45	Sfitti_g22268	GO:0005524; GO:0016301
A0A1Q9CT53	Sfitti_g8857	
A0A1Q9CT61	Sfitti_g7124	GO:0005506; GO:0031418; GO:0008289; GO:0016705
A0A1Q9CT62	Sfitti_g8273	GO:0008168
A0A1Q9CT66	Sfitti_g15203	GO:0003677; GO:0015074; GO:0006310
A0A1Q9CT67	Sfitti_g16351	GO:0003677
A0A1Q9CT67	Sfitti_g21671	GO:0003677
A0A1Q9CT76	Sfitti_g5206	
A0A1Q9CT76	Sfitti_g16456	
A0A1Q9CT81	Sfitti_g8124	GO:0016021; GO:0005509; GO:0015144; GO:0003684; GO:0003906; GO:0016799; GO:0008270; GO:0006284; GO:0006289
A0A1Q9CT81	Sfitti_g17332	GO:0016021; GO:0005509; GO:0015144; GO:0003684; GO:0003906; GO:0016799; GO:0008270; GO:0006284; GO:0006289
A0A1Q9CT86	Sfitti_g10442	
A0A1Q9CT86	Sfitti_g7594	
A0A1Q9CT95	Sfitti_g1906	
A0A1Q9CTA4	Sfitti_g21943	
A0A1Q9CTA4	Sfitti_g10277	
A0A1Q9CTA7	Sfitti_g17361	
A0A1Q9CTB5	Sfitti_g15898	
A0A1Q9CTD3	Sfitti_g16584	GO:0016021; GO:0003676; GO:0015074
A0A1Q9CTE0	Sfitti_g1205	GO:0042721; GO:0042719; GO:0046872; GO:0008565; GO:0045039
A0A1Q9CTE4	Sfitti_g8341	GO:0016021; GO:0008168
A0A1Q9CTE7	Sfitti_g4781	
A0A1Q9CTF4	Sfitti_g20015	
A0A1Q9CTF8	Sfitti_g923	GO:0016021
A0A1Q9CTF9	Sfitti_g14965	GO:0004190
A0A1Q9CTG4	Sfitti_g15982	
A0A1Q9CTG9	Sfitti_g10469	GO:0003676; GO:0004523
A0A1Q9CTH3	Sfitti_g5532	
A0A1Q9CTI0	Sfitti_g14413	
A0A1Q9CTI0	Sfitti_g18235	
A0A1Q9CTI0	Sfitti_g16288	
A0A1Q9CTI0	Sfitti_g15218	
A0A1Q9CTI0	Sfitti_g12890	
A0A1Q9CTI7	Sfitti_g5732	GO:0016021
A0A1Q9CTJ4	Sfitti_g18634	GO:0016301
A0A1Q9CTJ4	Sfitti_g12123	GO:0016301
A0A1Q9CTJ5	Sfitti_g1881	GO:0005524; GO:0004672
A0A1Q9CTJ5	Sfitti_g955	GO:0005524; GO:0004672
A0A1Q9CTJ5	Sfitti_g1880	GO:0005524; GO:0004672
A0A1Q9CTK2	Sfitti_g5222	GO:0016021
A0A1Q9CTK9	Sfitti_g966	GO:0000148; GO:0016021; GO:0003843; GO:0006075
A0A1Q9CTK9	Sfitti_g4925	GO:0000148; GO:0016021; GO:0003843; GO:0006075
A0A1Q9CTL2	Sfitti_g589	GO:0005576; GO:0016021; GO:0008061; GO:0020037; GO:0004553; GO:0046872; GO:0003950; GO:0016491; GO:0031625; GO:0005975; GO:0006030; GO:0006511
A0A1Q9CTM5	Sfitti_g5772	GO:0016021; GO:0005886; GO:0007162
A0A1Q9CTM5	Sfitti_g5773	GO:0016021; GO:0005886; GO:0007162
A0A1Q9CTM5	Sfitti_g18767	GO:0016021; GO:0005886; GO:0007162
A0A1Q9CTM5	Sfitti_g10999	GO:0016021; GO:0005886; GO:0007162
A0A1Q9CTM5	Sfitti_g8199	GO:0016021; GO:0005886; GO:0007162
A0A1Q9CTM5	Sfitti_g2685	GO:0016021; GO:0005886; GO:0007162
A0A1Q9CTM6	Sfitti_g5309	GO:0003677; GO:0008168; GO:0015074; GO:0006310
A0A1Q9CTM6	Sfitti_g20911	GO:0003677; GO:0008168; GO:0015074; GO:0006310
A0A1Q9CTM6	Sfitti_g6131	GO:0003677; GO:0008168; GO:0015074; GO:0006310
A0A1Q9CTM6	Sfitti_g12952	GO:0003677; GO:0008168; GO:0015074; GO:0006310
A0A1Q9CTN2	Sfitti_g21419	GO:0016021; GO:0016747
A0A1Q9CTN2	Sfitti_g12757	GO:0016021; GO:0016747
A0A1Q9CTN2	Sfitti_g3917	GO:0016021; GO:0016747
A0A1Q9CTN3	Sfitti_g19633	GO:0003676
A0A1Q9CTP0	Sfitti_g9094	
A0A1Q9CTP2	Sfitti_g1882	
A0A1Q9CTP4	Sfitti_g3923	GO:0016758; GO:0008152
A0A1Q9CTP6	Sfitti_g8604	GO:0016021; GO:0015299
A0A1Q9CTP6	Sfitti_g7857	GO:0016021; GO:0015299
A0A1Q9CTQ3	Sfitti_g13205	GO:0016021; GO:0005216; GO:0003676; GO:0015074
A0A1Q9CTR0	Sfitti_g22657	GO:0008168
A0A1Q9CTR0	Sfitti_g24185	GO:0008168
A0A1Q9CTR0	Sfitti_g23269	GO:0008168
A0A1Q9CTR0	Sfitti_g22804	GO:0008168
A0A1Q9CTR0	Sfitti_g1674	GO:0008168
A0A1Q9CTR0	Sfitti_g16972	GO:0008168
A0A1Q9CTR0	Sfitti_g4581	GO:0008168
A0A1Q9CTR0	Sfitti_g20636	GO:0008168
A0A1Q9CTR1	Sfitti_g23114	GO:0003676; GO:0004523
A0A1Q9CTR2	Sfitti_g2241	GO:0016021; GO:0020037; GO:0046872; GO:0008168; GO:0005344
A0A1Q9CTR2	Sfitti_g9310	GO:0016021; GO:0020037; GO:0046872; GO:0008168; GO:0005344
A0A1Q9CTR2	Sfitti_g5030	GO:0016021; GO:0020037; GO:0046872; GO:0008168; GO:0005344
A0A1Q9CTR2	Sfitti_g5029	GO:0016021; GO:0020037; GO:0046872; GO:0008168; GO:0005344
A0A1Q9CTR2	Sfitti_g24215	GO:0016021; GO:0020037; GO:0046872; GO:0008168; GO:0005344
A0A1Q9CTR2	Sfitti_g21812	GO:0016021; GO:0020037; GO:0046872; GO:0008168; GO:0005344
A0A1Q9CTR7	Sfitti_g1120	GO:0016021; GO:0016758; GO:0008152
A0A1Q9CTR8	Sfitti_g18256	
A0A1Q9CTT2	Sfitti_g4255	
A0A1Q9CTT7	Sfitti_g690	
A0A1Q9CTT8	Sfitti_g3320	GO:0016021; GO:0005815; GO:0000922; GO:0043015; GO:0016491; GO:0016757; GO:0007020; GO:0006486
A0A1Q9CTT8	Sfitti_g5011	GO:0016021; GO:0005815; GO:0000922; GO:0043015; GO:0016491; GO:0016757; GO:0007020; GO:0006486
A0A1Q9CTU6	Sfitti_g248	GO:0016021; GO:0004618; GO:0006096; GO:0055085
A0A1Q9CTU6	Sfitti_g6454	GO:0016021; GO:0004618; GO:0006096; GO:0055085
A0A1Q9CTV0	Sfitti_g24021	GO:0016021; GO:0015321
A0A1Q9CTV0	Sfitti_g22386	GO:0016021; GO:0015321
A0A1Q9CTV0	Sfitti_g22349	GO:0016021; GO:0015321
A0A1Q9CTV0	Sfitti_g23118	GO:0016021; GO:0015321
A0A1Q9CTV0	Sfitti_g22550	GO:0016021; GO:0015321
A0A1Q9CTV3	Sfitti_g10359	GO:0003676; GO:0090729
A0A1Q9CTV5	Sfitti_g20291	
A0A1Q9CTW1	Sfitti_g247	
A0A1Q9CTW5	Sfitti_g22535	
A0A1Q9CTW5	Sfitti_g23527	
A0A1Q9CTW8	Sfitti_g2388	GO:0005524; GO:0004386; GO:0003676
A0A1Q9CTW8	Sfitti_g4545	GO:0005524; GO:0004386; GO:0003676
A0A1Q9CTX1	Sfitti_g691	
A0A1Q9CTX6	Sfitti_g17589	GO:0016021; GO:0006281
A0A1Q9CTY0	Sfitti_g9689	
A0A1Q9CTY3	Sfitti_g21659	
A0A1Q9CTY3	Sfitti_g18419	
A0A1Q9CTY9	Sfitti_g245	GO:0003677; GO:0016779; GO:0003723; GO:0006355; GO:0006396
A0A1Q9CTY9	Sfitti_g246	GO:0003677; GO:0016779; GO:0003723; GO:0006355; GO:0006396
A0A1Q9CTY9	Sfitti_g23861	GO:0003677; GO:0016779; GO:0003723; GO:0006355; GO:0006396
A0A1Q9CTZ3	Sfitti_g13290	
A0A1Q9CTZ5	Sfitti_g10747	GO:0016021; GO:0003676; GO:0015074
A0A1Q9CU05	Sfitti_g5986	
A0A1Q9CU07	Sfitti_g14042	
A0A1Q9CU10	Sfitti_g8743	GO:0005524; GO:0004519; GO:0008017; GO:0003777; GO:0007018
A0A1Q9CU10	Sfitti_g4643	GO:0005524; GO:0004519; GO:0008017; GO:0003777; GO:0007018
A0A1Q9CU14	Sfitti_g20497	GO:0003676
A0A1Q9CU15	Sfitti_g1816	GO:0016459; GO:0005524; GO:0003677; GO:0003774; GO:0015074; GO:0006310
A0A1Q9CU15	Sfitti_g10010	GO:0016459; GO:0005524; GO:0003677; GO:0003774; GO:0015074; GO:0006310
A0A1Q9CU19	Sfitti_g1902	GO:0016021; GO:0006629
A0A1Q9CU23	Sfitti_g8791	
A0A1Q9CU23	Sfitti_g15966	
A0A1Q9CU30	Sfitti_g14246	
A0A1Q9CU31	Sfitti_g21383	
A0A1Q9CU36	Sfitti_g9940	
A0A1Q9CU40	Sfitti_g22524	GO:0016021; GO:0003677; GO:0016787; GO:0000166; GO:0015074; GO:0006310
A0A1Q9CU49	Sfitti_g8188	
A0A1Q9CU49	Sfitti_g21140	
A0A1Q9CU56	Sfitti_g5308	
A0A1Q9CU65	Sfitti_g8239	GO:0005634; GO:0003723
A0A1Q9CU65	Sfitti_g20659	GO:0005634; GO:0003723
A0A1Q9CU65	Sfitti_g6681	GO:0005634; GO:0003723
A0A1Q9CU80	Sfitti_g21316	
A0A1Q9CU84	Sfitti_g4838	GO:0016021
A0A1Q9CU88	Sfitti_g15370	GO:0005840
A0A1Q9CU92	Sfitti_g2368	GO:0016021
A0A1Q9CU99	Sfitti_g3849	
A0A1Q9CUA6	Sfitti_g3570	
A0A1Q9CUA7	Sfitti_g11953	GO:0003676; GO:0008270
A0A1Q9CUA8	Sfitti_g7794	
A0A1Q9CUA9	Sfitti_g9248	
A0A1Q9CUB0	Sfitti_g23246	GO:0016021
A0A1Q9CUB4	Sfitti_g10812	
A0A1Q9CUB8	Sfitti_g7905	GO:0016021
A0A1Q9CUB9	Sfitti_g24087	GO:0008375; GO:0005524; GO:0005509; GO:0004672; GO:0006486
A0A1Q9CUC1	Sfitti_g20557	GO:0020037; GO:0030151; GO:0016491; GO:0042128
A0A1Q9CUC1	Sfitti_g7131	GO:0020037; GO:0030151; GO:0016491; GO:0042128
A0A1Q9CUC1	Sfitti_g18658	GO:0020037; GO:0030151; GO:0016491; GO:0042128
A0A1Q9CUC4	Sfitti_g20177	GO:0070403
A0A1Q9CUC4	Sfitti_g23074	GO:0070403
A0A1Q9CUC4	Sfitti_g7132	GO:0070403
A0A1Q9CUC4	Sfitti_g19291	GO:0070403
A0A1Q9CUD0	Sfitti_g13407	GO:0030246; GO:0016853; GO:0003676; GO:0004523; GO:0036459; GO:0005975; GO:0016579
A0A1Q9CUD0	Sfitti_g15947	GO:0030246; GO:0016853; GO:0003676; GO:0004523; GO:0036459; GO:0005975; GO:0016579
A0A1Q9CUD0	Sfitti_g7859	GO:0030246; GO:0016853; GO:0003676; GO:0004523; GO:0036459; GO:0005975; GO:0016579
A0A1Q9CUD8	Sfitti_g7301	GO:0004587; GO:0030170
A0A1Q9CUD8	Sfitti_g2292	GO:0004587; GO:0030170
A0A1Q9CUE0	Sfitti_g22097	GO:0016021
A0A1Q9CUE0	Sfitti_g15007	GO:0016021
A0A1Q9CUE2	Sfitti_g1376	GO:0016021; GO:0097367; GO:0004360; GO:1901137
